codigo,nome,modelo,fabricante,cor,tam
"001","Air Max 90","Air Max","Nike","[Preto, Branco, Vermelho, Verde]","[38,40,41,42]"
"002","UltraBoost","UltraBoost","Adidas","[Azul, Branco,]","[40,42]"
"003","Free Run 5.0","Free","Nike","[Amarelo, Bege]","[39,40,42,45]"
"004","RS-X3",RS-X,"Puma","[Preto, Branco]","[40]"
"005","React Infinity Run","React","Nike","[Cinza, Verde]","[42,43,45]"
"006","Zoom Freak 1","Zoom Freak","Nike","[Preto]","[39,40,41,42]"
"007","Wave Rider 24","Wave Rider","Mizuno","[Roxo, Verde, Rosa]","[38,41,42]"
"008","Suede Classic","Suede","Puma","[Vermelho, Verde, Dourado]","[39,42]"
"009",Primeknit","Primeknit","Adidas","[Preto, Branco]","[39,40,41,42]"
"010",Chuck Taylor","Chuck Taylor","Converse","[Branco, Vermelho, Verde]","[39,40,41,42,43,44]"
