produto_id,codigo,nome,modelo,fabricante,cores,tamanhos
1001,CC001,Sapato Concorrente 1,CM1,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1002,CC002,Sapato Concorrente 2,CM2,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1003,CC003,Sapato Concorrente 3,CM3,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1004,CC004,Sapato Concorrente 4,CM4,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1005,CC005,Sapato Concorrente 5,CM5,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1006,CC006,Sapato Concorrente 6,CM6,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1007,CC007,Sapato Concorrente 7,CM7,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1008,CC008,Sapato Concorrente 8,CM8,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1009,CC009,Sapato Concorrente 9,CM9,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1010,CC010,Sapato Concorrente 10,CM10,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1011,CC011,Sapato Concorrente 11,CM11,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1012,CC012,Sapato Concorrente 12,CM12,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1013,CC013,Sapato Concorrente 13,CM13,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1014,CC014,Sapato Concorrente 14,CM14,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1015,CC015,Sapato Concorrente 15,CM15,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1016,CC016,Sapato Concorrente 16,CM16,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1017,CC017,Sapato Concorrente 17,CM17,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1018,CC018,Sapato Concorrente 18,CM18,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1019,CC019,Sapato Concorrente 19,CM19,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
1020,CC020,Sapato Concorrente 20,CM20,MarcaConcorrente,"[""Azul"", ""Cinza""]","[36, 37, 38]"
