codigo,nome,modelo,fabricante,cor,tam
"N31","Air Max 90","Air Max","Nike","[Preto, Branco, Vermelho, Verde]","[38,40,41,42]"
"A02","UltraBoost","UltraBoost","Adidas","[Azul, Branco,]","[40,42]"
"N13","Free Run 5.0","Free","Nike","[Amarelo, Bege]","[39,40,42,45]"
"P84","RS-X3",RS-X,"Puma","[Preto, Branco]","[40]"
"N00","React Infinity Run","React","Nike","[Cinza, Verde]","[42,43,45]"
"N06","Zoom Freak 1","Zoom Freak","Nike","[Preto]","[39,40,41,42]"
"M17","Wave Rider 24","Wave Rider","Mizuno","[Roxo, Verde, Rosa]","[38,41,42]"
"P08","Suede Classic","Suede","Puma","[Vermelho, Verde, Dourado]","[39,42]"
"A09",Primeknit","Primeknit","Adidas","[Preto, Branco]","[39,40,41,42]"
"C10",Chuck Taylor","Chuck Taylor","Converse","[Branco, Vermelho, Verde]","[39,40,41,42,43,44]"
